Year,Value,Unit,Country,Sector,Source,Scenario,DataType,Method,Notes
2007,234,MtCO2e,Viet Nam,Non-power energy,DEA_KeyMetrics_EORNZ interpolation,BSL,Interpolated,Linear interpolation/extrapolation of DEA BSL non-power emissions.,Used as non-power component of the combined overall pathway.
2008,234,MtCO2e,Viet Nam,Non-power energy,DEA_KeyMetrics_EORNZ interpolation,BSL,Interpolated,Linear interpolation/extrapolation of DEA BSL non-power emissions.,Used as non-power component of the combined overall pathway.
2009,234,MtCO2e,Viet Nam,Non-power energy,DEA_KeyMetrics_EORNZ interpolation,BSL,Interpolated,Linear interpolation/extrapolation of DEA BSL non-power emissions.,Used as non-power component of the combined overall pathway.
2010,234,MtCO2e,Viet Nam,Non-power energy,DEA_KeyMetrics_EORNZ interpolation,BSL,Interpolated,Linear interpolation/extrapolation of DEA BSL non-power emissions.,Used as non-power component of the combined overall pathway.
2011,234,MtCO2e,Viet Nam,Non-power energy,DEA_KeyMetrics_EORNZ interpolation,BSL,Interpolated,Linear interpolation/extrapolation of DEA BSL non-power emissions.,Used as non-power component of the combined overall pathway.
2012,234,MtCO2e,Viet Nam,Non-power energy,DEA_KeyMetrics_EORNZ interpolation,BSL,Interpolated,Linear interpolation/extrapolation of DEA BSL non-power emissions.,Used as non-power component of the combined overall pathway.
2013,234,MtCO2e,Viet Nam,Non-power energy,DEA_KeyMetrics_EORNZ interpolation,BSL,Interpolated,Linear interpolation/extrapolation of DEA BSL non-power emissions.,Used as non-power component of the combined overall pathway.
2014,234,MtCO2e,Viet Nam,Non-power energy,DEA_KeyMetrics_EORNZ interpolation,BSL,Interpolated,Linear interpolation/extrapolation of DEA BSL non-power emissions.,Used as non-power component of the combined overall pathway.
2015,234,MtCO2e,Viet Nam,Non-power energy,DEA_KeyMetrics_EORNZ interpolation,BSL,Interpolated,Linear interpolation/extrapolation of DEA BSL non-power emissions.,Used as non-power component of the combined overall pathway.
2016,234,MtCO2e,Viet Nam,Non-power energy,DEA_KeyMetrics_EORNZ interpolation,BSL,Interpolated,Linear interpolation/extrapolation of DEA BSL non-power emissions.,Used as non-power component of the combined overall pathway.
2017,234,MtCO2e,Viet Nam,Non-power energy,DEA_KeyMetrics_EORNZ interpolation,BSL,Interpolated,Linear interpolation/extrapolation of DEA BSL non-power emissions.,Used as non-power component of the combined overall pathway.
2018,234,MtCO2e,Viet Nam,Non-power energy,DEA_KeyMetrics_EORNZ interpolation,BSL,Interpolated,Linear interpolation/extrapolation of DEA BSL non-power emissions.,Used as non-power component of the combined overall pathway.
2019,234,MtCO2e,Viet Nam,Non-power energy,DEA_KeyMetrics_EORNZ interpolation,BSL,Interpolated,Linear interpolation/extrapolation of DEA BSL non-power emissions.,Used as non-power component of the combined overall pathway.
2020,234,MtCO2e,Viet Nam,Non-power energy,DEA_KeyMetrics_EORNZ interpolation,BSL,Interpolated,Linear interpolation/extrapolation of DEA BSL non-power emissions.,Used as non-power component of the combined overall pathway.
2021,234,MtCO2e,Viet Nam,Non-power energy,DEA_KeyMetrics_EORNZ interpolation,BSL,Interpolated,Linear interpolation/extrapolation of DEA BSL non-power emissions.,Used as non-power component of the combined overall pathway.
2022,234,MtCO2e,Viet Nam,Non-power energy,DEA_KeyMetrics_EORNZ interpolation,BSL,Interpolated,Linear interpolation/extrapolation of DEA BSL non-power emissions.,Used as non-power component of the combined overall pathway.
2023,234,MtCO2e,Viet Nam,Non-power energy,DEA_KeyMetrics_EORNZ interpolation,BSL,Interpolated,Linear interpolation/extrapolation of DEA BSL non-power emissions.,Used as non-power component of the combined overall pathway.
2024,234,MtCO2e,Viet Nam,Non-power energy,DEA_KeyMetrics_EORNZ interpolation,BSL,Interpolated,Linear interpolation/extrapolation of DEA BSL non-power emissions.,Used as non-power component of the combined overall pathway.
2025,234,MtCO2e,Viet Nam,Non-power energy,DEA_KeyMetrics_EORNZ interpolation,BSL,Interpolated,Linear interpolation/extrapolation of DEA BSL non-power emissions.,Used as non-power component of the combined overall pathway.
2026,234,MtCO2e,Viet Nam,Non-power energy,DEA_KeyMetrics_EORNZ interpolation,BSL,Interpolated,Linear interpolation/extrapolation of DEA BSL non-power emissions.,Used as non-power component of the combined overall pathway.
2027,234,MtCO2e,Viet Nam,Non-power energy,DEA_KeyMetrics_EORNZ interpolation,BSL,Interpolated,Linear interpolation/extrapolation of DEA BSL non-power emissions.,Used as non-power component of the combined overall pathway.
2028,234,MtCO2e,Viet Nam,Non-power energy,DEA_KeyMetrics_EORNZ interpolation,BSL,Interpolated,Linear interpolation/extrapolation of DEA BSL non-power emissions.,Used as non-power component of the combined overall pathway.
2029,234,MtCO2e,Viet Nam,Non-power energy,DEA_KeyMetrics_EORNZ interpolation,BSL,Interpolated,Linear interpolation/extrapolation of DEA BSL non-power emissions.,Used as non-power component of the combined overall pathway.
2030,234,MtCO2e,Viet Nam,Non-power energy,DEA_KeyMetrics_EORNZ interpolation,BSL,Projected,Linear interpolation/extrapolation of DEA BSL non-power emissions.,Used as non-power component of the combined overall pathway.
2031,230.75,MtCO2e,Viet Nam,Non-power energy,DEA_KeyMetrics_EORNZ interpolation,BSL,Interpolated,Linear interpolation/extrapolation of DEA BSL non-power emissions.,Used as non-power component of the combined overall pathway.
2032,227.5,MtCO2e,Viet Nam,Non-power energy,DEA_KeyMetrics_EORNZ interpolation,BSL,Interpolated,Linear interpolation/extrapolation of DEA BSL non-power emissions.,Used as non-power component of the combined overall pathway.
2033,224.25,MtCO2e,Viet Nam,Non-power energy,DEA_KeyMetrics_EORNZ interpolation,BSL,Interpolated,Linear interpolation/extrapolation of DEA BSL non-power emissions.,Used as non-power component of the combined overall pathway.
2034,221,MtCO2e,Viet Nam,Non-power energy,DEA_KeyMetrics_EORNZ interpolation,BSL,Interpolated,Linear interpolation/extrapolation of DEA BSL non-power emissions.,Used as non-power component of the combined overall pathway.
2035,217.75,MtCO2e,Viet Nam,Non-power energy,DEA_KeyMetrics_EORNZ interpolation,BSL,Interpolated,Linear interpolation/extrapolation of DEA BSL non-power emissions.,Used as non-power component of the combined overall pathway.
2036,214.5,MtCO2e,Viet Nam,Non-power energy,DEA_KeyMetrics_EORNZ interpolation,BSL,Interpolated,Linear interpolation/extrapolation of DEA BSL non-power emissions.,Used as non-power component of the combined overall pathway.
2037,211.25,MtCO2e,Viet Nam,Non-power energy,DEA_KeyMetrics_EORNZ interpolation,BSL,Interpolated,Linear interpolation/extrapolation of DEA BSL non-power emissions.,Used as non-power component of the combined overall pathway.
2038,208,MtCO2e,Viet Nam,Non-power energy,DEA_KeyMetrics_EORNZ interpolation,BSL,Interpolated,Linear interpolation/extrapolation of DEA BSL non-power emissions.,Used as non-power component of the combined overall pathway.
2039,204.75,MtCO2e,Viet Nam,Non-power energy,DEA_KeyMetrics_EORNZ interpolation,BSL,Interpolated,Linear interpolation/extrapolation of DEA BSL non-power emissions.,Used as non-power component of the combined overall pathway.
2040,201.5,MtCO2e,Viet Nam,Non-power energy,DEA_KeyMetrics_EORNZ interpolation,BSL,Interpolated,Linear interpolation/extrapolation of DEA BSL non-power emissions.,Used as non-power component of the combined overall pathway.
2041,198.25,MtCO2e,Viet Nam,Non-power energy,DEA_KeyMetrics_EORNZ interpolation,BSL,Interpolated,Linear interpolation/extrapolation of DEA BSL non-power emissions.,Used as non-power component of the combined overall pathway.
2042,195,MtCO2e,Viet Nam,Non-power energy,DEA_KeyMetrics_EORNZ interpolation,BSL,Interpolated,Linear interpolation/extrapolation of DEA BSL non-power emissions.,Used as non-power component of the combined overall pathway.
2043,191.75,MtCO2e,Viet Nam,Non-power energy,DEA_KeyMetrics_EORNZ interpolation,BSL,Interpolated,Linear interpolation/extrapolation of DEA BSL non-power emissions.,Used as non-power component of the combined overall pathway.
2044,188.5,MtCO2e,Viet Nam,Non-power energy,DEA_KeyMetrics_EORNZ interpolation,BSL,Interpolated,Linear interpolation/extrapolation of DEA BSL non-power emissions.,Used as non-power component of the combined overall pathway.
2045,185.25,MtCO2e,Viet Nam,Non-power energy,DEA_KeyMetrics_EORNZ interpolation,BSL,Interpolated,Linear interpolation/extrapolation of DEA BSL non-power emissions.,Used as non-power component of the combined overall pathway.
2046,182,MtCO2e,Viet Nam,Non-power energy,DEA_KeyMetrics_EORNZ interpolation,BSL,Interpolated,Linear interpolation/extrapolation of DEA BSL non-power emissions.,Used as non-power component of the combined overall pathway.
2047,178.75,MtCO2e,Viet Nam,Non-power energy,DEA_KeyMetrics_EORNZ interpolation,BSL,Interpolated,Linear interpolation/extrapolation of DEA BSL non-power emissions.,Used as non-power component of the combined overall pathway.
2048,175.5,MtCO2e,Viet Nam,Non-power energy,DEA_KeyMetrics_EORNZ interpolation,BSL,Interpolated,Linear interpolation/extrapolation of DEA BSL non-power emissions.,Used as non-power component of the combined overall pathway.
2049,172.25,MtCO2e,Viet Nam,Non-power energy,DEA_KeyMetrics_EORNZ interpolation,BSL,Interpolated,Linear interpolation/extrapolation of DEA BSL non-power emissions.,Used as non-power component of the combined overall pathway.
2050,169,MtCO2e,Viet Nam,Non-power energy,DEA_KeyMetrics_EORNZ interpolation,BSL,Projected,Linear interpolation/extrapolation of DEA BSL non-power emissions.,Used as non-power component of the combined overall pathway.
1970,63.86586165372037,MtCO2e,Viet Nam,Agriculture,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1971,62.88787646464317,MtCO2e,Viet Nam,Agriculture,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1972,64.31526520679687,MtCO2e,Viet Nam,Agriculture,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1973,65.42283240808337,MtCO2e,Viet Nam,Agriculture,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1974,65.74532941388858,MtCO2e,Viet Nam,Agriculture,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1975,61.89987507365607,MtCO2e,Viet Nam,Agriculture,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1976,65.9080509032045,MtCO2e,Viet Nam,Agriculture,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1977,67.92934869628111,MtCO2e,Viet Nam,Agriculture,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1978,66.61234474667376,MtCO2e,Viet Nam,Agriculture,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1979,65.61335953577415,MtCO2e,Viet Nam,Agriculture,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1980,66.25280008696409,MtCO2e,Viet Nam,Agriculture,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1981,66.88527911537474,MtCO2e,Viet Nam,Agriculture,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1982,67.8586227350928,MtCO2e,Viet Nam,Agriculture,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1983,67.71293862065879,MtCO2e,Viet Nam,Agriculture,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1984,68.20429933475052,MtCO2e,Viet Nam,Agriculture,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1985,68.56492137460415,MtCO2e,Viet Nam,Agriculture,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1986,68.59802152469571,MtCO2e,Viet Nam,Agriculture,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1987,67.04257160552886,MtCO2e,Viet Nam,Agriculture,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1988,68.7200167743207,MtCO2e,Viet Nam,Agriculture,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1989,69.92285916246439,MtCO2e,Viet Nam,Agriculture,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1990,70.10078283966222,MtCO2e,Viet Nam,Agriculture,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1991,72.5996993594758,MtCO2e,Viet Nam,Agriculture,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1992,73.25489156471241,MtCO2e,Viet Nam,Agriculture,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1993,73.89608704419149,MtCO2e,Viet Nam,Agriculture,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1994,75.9846432055748,MtCO2e,Viet Nam,Agriculture,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1995,76.32762622777601,MtCO2e,Viet Nam,Agriculture,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1996,79.1457954631924,MtCO2e,Viet Nam,Agriculture,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1997,78.7763191105028,MtCO2e,Viet Nam,Agriculture,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1998,82.12333261276031,MtCO2e,Viet Nam,Agriculture,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1999,83.9235746606965,MtCO2e,Viet Nam,Agriculture,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2000,84.34002484949279,MtCO2e,Viet Nam,Agriculture,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2001,82.083135897185,MtCO2e,Viet Nam,Agriculture,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2002,84.9558122883865,MtCO2e,Viet Nam,Agriculture,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2003,86.7484310152482,MtCO2e,Viet Nam,Agriculture,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2004,89.43166839268119,MtCO2e,Viet Nam,Agriculture,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2005,89.0463836629848,MtCO2e,Viet Nam,Agriculture,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2006,91.05544023097,MtCO2e,Viet Nam,Agriculture,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2007,91.605376078372,MtCO2e,Viet Nam,Agriculture,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2008,91.5905164568709,MtCO2e,Viet Nam,Agriculture,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2009,93.3773353618748,MtCO2e,Viet Nam,Agriculture,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2010,93.3477021916853,MtCO2e,Viet Nam,Agriculture,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2011,94.0936592918162,MtCO2e,Viet Nam,Agriculture,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2012,94.9759892687172,MtCO2e,Viet Nam,Agriculture,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2013,96.9546552365407,MtCO2e,Viet Nam,Agriculture,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2014,95.7601936283944,MtCO2e,Viet Nam,Agriculture,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2015,99.3892871066207,MtCO2e,Viet Nam,Agriculture,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2016,97.62797466696101,MtCO2e,Viet Nam,Agriculture,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2017,97.99852466431861,MtCO2e,Viet Nam,Agriculture,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2018,97.4416680792789,MtCO2e,Viet Nam,Agriculture,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2019,93.90080266708391,MtCO2e,Viet Nam,Agriculture,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2020,92.00651062367369,MtCO2e,Viet Nam,Agriculture,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2021,93.5443163001191,MtCO2e,Viet Nam,Agriculture,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2022,92.1746405499116,MtCO2e,Viet Nam,Agriculture,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
2023,92.5003096187488,MtCO2e,Viet Nam,Agriculture,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1970,14.468569721895001,MtCO2e,Viet Nam,Buildings,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1971,14.468569721895001,MtCO2e,Viet Nam,Buildings,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1972,13.764843758315,MtCO2e,Viet Nam,Buildings,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1973,15.66896833801,MtCO2e,Viet Nam,Buildings,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1974,13.552619499285,MtCO2e,Viet Nam,Buildings,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1975,16.147653322525,MtCO2e,Viet Nam,Buildings,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1976,11.75439081683,MtCO2e,Viet Nam,Buildings,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1977,12.660547430565,MtCO2e,Viet Nam,Buildings,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1978,12.943364935785,MtCO2e,Viet Nam,Buildings,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1979,14.03696488159,MtCO2e,Viet Nam,Buildings,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1980,7.001660985019,MtCO2e,Viet Nam,Buildings,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
1981,7.809023261695,MtCO2e,Viet Nam,Buildings,EDGAR,,Historical,GHG_by_sector_and_country summed across EDGAR substances by sector.,"Substances: CO2, GWP_100_AR5_CH4, GWP_100_AR5_F-gases, GWP_100_AR5_N2O"
